Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Scaled,ScaledSD,Gen 0,Gen 1,Gen 2,Allocated
FirstCut,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,10,Default,2,Default,3,5,1,67.17 ms,2.629 ms,0.9377 ms,1.00,0.00,15900.0000,500.0000,300.0000,75.27 MB
ImprovedCut,Default,False,Default,Default,Default,Default,Default,Default,255,RyuJit,X64,Core,False,True,False,True,False,True,Default,Default,Default,10,Default,2,Default,3,5,1,68.96 ms,6.712 ms,2.3938 ms,1.03,0.03,15900.0000,500.0000,300.0000,75.27 MB
